name,ring,quadrant,isNew,description
Postgres,ADOPT,Data Management,TRUE,
Redis,ADOPT,Data Management,TRUE,
Bash,ADOPT,Languages & Frameworks,TRUE,
Python,ADOPT,Languages & Frameworks,TRUE,
Ubuntu,ADOPT,Platform & Infrastructure,TRUE,
Docker,ADOPT,Platform & Infrastructure,TRUE,
Nginx,ADOPT,Platform & Infrastructure,TRUE,
Docker Swarm,TRIAL,Platform & Infrastructure,TRUE,
Gitlab,ADOPT,Platform & Infrastructure,TRUE,
Jenkins,ADOPT,Platform & Infrastructure,TRUE,
Zabbix,ADOPT,Platform & Infrastructure,TRUE,
Prometheus,ASSESS,Platform & Infrastructure,TRUE,
Grafana,ASSESS,Platform & Infrastructure,TRUE,
Graylog,ASSESS,Platform & Infrastructure,TRUE,
Kubernetes,ASSESS,Platform & Infrastructure,TRUE,
Ansible,ADOPT,Techniques & Tools,TRUE,
Git,ADOPT,Techniques & Tools,TRUE,
Bacula,ADOPT,Techniques & Tools,TRUE,
